******************************************
ASBF QUADRATURE NODES
14 1
-0.986283808696812 
-0.928434883663574 
-0.827201315069765 
-0.687292904811685 
-0.515248636358154 
-0.319112368927890 
-0.108054948707344 
0.108054948707344 
0.319112368927890 
0.515248636358154 
0.687292904811685 
0.827201315069765 
0.928434883663574 
0.986283808696812 
******************************************
ASBF QUADRATURE WEIGHTS
14 1
0.035119460331752 
0.080158087159760 
0.121518570687903 
0.157203167158194 
0.185538397477938 
0.205198463721296 
0.215263853463158 
0.215263853463158 
0.205198463721296 
0.185538397477938 
0.157203167158194 
0.121518570687903 
0.080158087159760 
0.035119460331752 
******************************************
ASBF GLL NODES
10 1
-1.000000000000000 
-0.919533908166457 
-0.738773865105505 
-0.477924949810444 
-0.165278957666387 
0.165278957666387 
0.477924949810445 
0.738773865105505 
0.919533908166461 
1.000000000000000 
******************************************
ASBF PLOT NODES
23 1
-1.000000000000000 
-0.909090909090909 
-0.818181818181818 
-0.727272727272727 
-0.636363636363636 
-0.545454545454545 
-0.454545454545455 
-0.363636363636364 
-0.272727272727273 
-0.181818181818182 
-0.090909090909091 
0.000000000000000 
0.090909090909091 
0.181818181818182 
0.272727272727273 
0.363636363636364 
0.454545454545455 
0.545454545454545 
0.636363636363636 
0.727272727272727 
0.818181818181818 
0.909090909090909 
1.000000000000000 
******************************************
ASBF INITIAL BASIS DIRICHLET-DIRICHLET QUADRATURE VANDERMONDE
14 9
0.027244248702510 -0.026870561375394 0.025759750527781 -0.023942288347845 0.021468032153479 -0.018404856687272 0.014836792150605 -0.010861719055011 0.006588683126537 
0.138008666796607 -0.128132060501872 0.099915882574653 -0.057398721126810 0.006666067368963 0.045020702162417 -0.090263648118195 0.122587137116915 -0.137364700657392 
0.315737984346851 -0.261178875869192 0.116357034828026 0.068677491414469 -0.229977257255508 0.311797487861320 -0.285861326733157 0.161132242941191 0.019283720210969 
0.527628462995515 -0.362635298993513 -0.029155126930505 0.402711522749953 -0.524406417613399 0.318130097376854 0.087109300145076 -0.437869305242498 0.514779633310905 
0.734518842731063 -0.378459832096549 -0.344517017922897 0.733483679470450 -0.411335913353325 -0.309603142589577 0.730381107416282 -0.443052596646419 -0.273816614902269 
0.898167295997230 -0.286616293519233 -0.715241687200723 0.743101231836440 0.240976098311604 -0.896898139010872 0.331446481341946 0.685360795343188 -0.768860695286480 
0.988324128059853 -0.106793312963738 -0.965245036150685 0.315392318706298 0.897085634509687 -0.509261403152377 -0.787029204917167 0.679346203889388 0.640215766485574 
0.988324128059853 0.106793312963738 -0.965245036150685 -0.315392318706298 0.897085634509687 0.509261403152376 -0.787029204917167 -0.679346203889388 0.640215766485574 
0.898167295997230 0.286616293519233 -0.715241687200723 -0.743101231836440 0.240976098311604 0.896898139010872 0.331446481341946 -0.685360795343188 -0.768860695286480 
0.734518842731063 0.378459832096549 -0.344517017922897 -0.733483679470450 -0.411335913353325 0.309603142589577 0.730381107416282 0.443052596646419 -0.273816614902269 
0.527628462995516 0.362635298993513 -0.029155126930505 -0.402711522749953 -0.524406417613399 -0.318130097376854 0.087109300145076 0.437869305242498 0.514779633310905 
0.315737984346851 0.261178875869192 0.116357034828026 -0.068677491414469 -0.229977257255508 -0.311797487861320 -0.285861326733157 -0.161132242941191 0.019283720210969 
0.138008666796607 0.128132060501872 0.099915882574653 0.057398721126810 0.006666067368963 -0.045020702162417 -0.090263648118195 -0.122587137116915 -0.137364700657392 
0.027244248702510 0.026870561375394 0.025759750527781 0.023942288347845 0.021468032153479 0.018404856687272 0.014836792150605 0.010861719055011 0.006588683126537 
******************************************
ASBF INITIAL BASIS DIRICHLET-DIRICHLET QUADRATURE DERIVATIVE VANDERMONDE
14 9
1.972567617393625 -1.918267253892467 1.757603126390469 -1.497204256399603 1.147848929711595 -0.724069307702466 0.243617026036363 0.273191835398602 -0.804229831990002 
1.856869767327146 -1.585973999610180 0.831813283312169 0.241236826915989 -1.394556096232019 2.361604361756944 -2.900594241177538 2.843894095732464 -2.134972452434421 
1.654402630139530 -1.052786046959447 -0.435028376814008 2.005212207401923 -2.745044990270688 2.076242929842230 -0.066301797946260 -2.538275714403274 4.587896301756707 
1.374585809623371 -0.417114611013453 -1.526496582324732 2.457104897654592 -1.045581897247451 -2.068675694125964 4.525414345859485 -3.977676048068362 0.066504094609058 
