******************************************
Pressure projection matrix - L2-orthogonal
5 5
0.800000000000000 0.466666666666667 -0.533333333333333 0.466666666666667 -0.200000000000000 
0.085714285714286 0.800000000000000 0.228571428571429 -0.200000000000000 0.085714285714286 
-0.075000000000000 0.175000000000000 0.800000000000000 0.175000000000000 -0.075000000000000 
0.085714285714286 -0.200000000000000 0.228571428571428 0.800000000000000 0.085714285714286 
-0.200000000000000 0.466666666666667 -0.533333333333333 0.466666666666667 0.800000000000000 
******************************************
Pressure projection matrix - Interpolatory
5 5
1.000000000000000 0.000000000000000 -0.000000000000000 0.000000000000000 0.000000000000000 
0.114285714285714 0.733333333333334 0.304761904761904 -0.266666666666666 0.114285714285714 
-0.174999999999999 0.408333333333333 0.533333333333334 0.408333333333333 -0.175000000000000 
0.114285714285714 -0.266666666666667 0.304761904761905 0.733333333333333 0.114285714285715 
0.000000000000000 -0.000000000000000 -0.000000000000000 0.000000000000000 1.000000000000000 
******************************************
Pressure projection matrix - Pseudoinverse
5 5
0.950000000000000 0.116666666666666 -0.133333333333334 0.116666666666666 -0.050000000000000 
0.116666666666667 0.727777777777778 0.311111111111111 -0.272222222222223 0.116666666666667 
-0.133333333333333 0.311111111111112 0.644444444444444 0.311111111111110 -0.133333333333334 
0.116666666666666 -0.272222222222222 0.311111111111111 0.727777777777778 0.116666666666667 
-0.050000000000000 0.116666666666666 -0.133333333333334 0.116666666666668 0.950000000000000 
