******************************************
Cubature 1D differentiation matrix
9 9
-15.449591358491737 24.731300866264860 -15.923861146445816 11.504856390469300 -8.317162612305623 5.731953832359288 -3.572238100056591 1.811185563493739 -0.516443435287408 
-2.316092360147003 -2.777032345944455 7.764816168647410 -4.429730819535031 2.947504352855350 -1.953863314712999 1.192844219528972 -0.598063870612235 0.169617969919995 
0.498898040653327 -2.597680184472928 -0.983320837244651 4.535349788062880 -2.323702892869143 1.398481806078868 -0.815166754340951 0.399060032450615 -0.111918998318018 
-0.209639325311061 0.861906140075180 -2.637782135089946 -0.362351122857520 3.352228710952991 -1.542003765916529 0.813364017486014 -0.380169102012284 0.104446582673157 
0.128271543690559 -0.485401004392329 1.143858518955990 -2.837247478170769 0.000000000000000 2.837247478170768 -1.143858518955990 0.485401004392329 -0.128271543690558 
-0.104446582673157 0.380169102012285 -0.813364017486012 1.542003765916529 -3.352228710952992 0.362351122857522 2.637782135089947 -0.861906140075179 0.209639325311060 
0.111918998318017 -0.399060032450614 0.815166754340952 -1.398481806078868 2.323702892869143 -4.535349788062881 0.983320837244646 2.597680184472933 -0.498898040653328 
-0.169617969919992 0.598063870612233 -1.192844219528975 1.953863314712999 -2.947504352855348 4.429730819535031 -7.764816168647410 2.777032345944455 2.316092360147010 
0.516443435287415 -1.811185563493749 3.572238100056605 -5.731953832359292 8.317162612305601 -11.504856390469257 15.923861146445816 -24.731300866264860 15.449591358491745 
******************************************
Pressure 1D cubature interpolation matrix
9 5
0.848264157266516 0.201016195540749 -0.074391342808754 0.038833717988507 -0.013722727987020 
0.363144609338011 0.766010267658080 -0.189927285246150 0.093203459791530 -0.032431051541471 
-0.045327007300251 0.990522939714913 0.076189684132314 -0.032247787239518 0.010862170692543 
-0.121519386106026 0.579917003441130 0.675326175756499 -0.195733305545910 0.062009512454307 
-0.000000000000000 0.000000000000000 1.000000000000000 0.000000000000000 0.000000000000000 
0.062009512454307 -0.195733305545910 0.675326175756499 0.579917003441130 -0.121519386106025 
0.010862170692542 -0.032247787239517 0.076189684132313 0.990522939714913 -0.045327007300251 
-0.032431051541472 0.093203459791531 -0.189927285246150 0.766010267658080 0.363144609338011 
-0.013722727987020 0.038833717988507 -0.074391342808754 0.201016195540750 0.848264157266517 
