******************************************
SHELL GLOBAL DISCRETE QUADRATURE NODES
11 1
-0.978228658146057 
-0.887062599768095 
-0.730152005574049 
-0.519096129206812 
-0.269543155952345 
0.000000000000000 
0.269543155952345 
0.519096129206812 
0.730152005574049 
0.887062599768095 
0.978228658146057 
******************************************
SHELL GLOBAL DISCRETE QUADRATURE WEIGHTS
11 1
0.055668567116174 
0.125580369464905 
0.186290210927734 
0.233193764591990 
0.262804544510247 
0.272925086777901 
0.262804544510247 
0.233193764591990 
0.186290210927734 
0.125580369464905 
0.055668567116174 
******************************************
SHELL GLOBAL DISCRETE GLL NODES
7 1
-1.000000000000000 
-0.830223896278568 
-0.468848793470714 
-0.000000000000000 
0.468848793470714 
0.830223896278568 
1.000000000000000 
******************************************
SHELL GLOBAL DISCRETE PLOT NODES
15 1
-1.000000000000000 
-0.857142857142857 
-0.714285714285714 
-0.571428571428571 
-0.428571428571429 
-0.285714285714286 
-0.142857142857143 
0.000000000000000 
0.142857142857143 
0.285714285714286 
0.428571428571429 
0.571428571428571 
0.714285714285714 
0.857142857142857 
1.000000000000000 
******************************************
SHELL GLOBAL DISCRETE INITIAL BASIS DIRICHLET-DIRICHLET QUADRATURE VANDERMONDE
11 6
0.043068692381765 -0.042131029156719 0.039358867854815 -0.034872915818808 0.028868503439330 -0.021607078945474 
0.213119944092668 -0.189050731669273 0.122279722952544 -0.027888806213139 -0.072801489064832 0.157047762526816 
0.466878048756193 -0.340891943657833 0.030927823935412 0.295727918308868 -0.462780489250330 0.380072286424468 
0.730539208642505 -0.379220075440132 -0.336835862085530 0.728920459813408 -0.419923716292049 -0.292958908434724 
0.927346487079250 -0.249959898788661 -0.792596527117201 0.677237837420739 0.427506879059747 -0.907700944166942 
1.000000000000000 0.000000000000000 -1.000000000000000 0.000000000000000 1.000000000000000 0.000000000000000 
0.927346487079250 0.249959898788661 -0.792596527117201 -0.677237837420739 0.427506879059747 0.907700944166942 
0.730539208642505 0.379220075440132 -0.336835862085530 -0.728920459813408 -0.419923716292049 0.292958908434724 
0.466878048756193 0.340891943657833 0.030927823935412 -0.295727918308869 -0.462780489250330 -0.380072286424469 
0.213119944092668 0.189050731669273 0.122279722952544 0.027888806213139 -0.072801489064832 -0.157047762526816 
0.043068692381765 0.042131029156719 0.039358867854815 0.034872915818808 0.028868503439330 0.021607078945474 
******************************************
SHELL GLOBAL DISCRETE INITIAL BASIS DIRICHLET-DIRICHLET QUADRATURE DERIVATIVE VANDERMONDE
11 6
1.956457316292114 -1.870793922854705 1.619409083038360 -1.218793090015967 0.695361743332038 -0.083915473316971 
1.774125199536191 -1.360640167721998 0.261719346182007 1.140876726359450 -2.341555108406942 2.867732219438339 
1.460304011148099 -0.599365853731420 -1.266831538114569 2.511180678159864 -1.808799842302147 -0.795343991582651 
1.038192258413623 0.191617625927515 -1.995568345107431 1.206494256927245 2.200836267371883 -4.331232864332768 
0.539086311904690 0.782039461237750 -1.460592878404602 -1.579846887458759 3.666742385180325 0.458170016446786 
0.000000000000000 1.000000000000000 0.000000000000000 -3.000000000000000 0.000000000000000 5.000000000000000 
-0.539086311904690 0.782039461237750 1.460592878404602 -1.579846887458759 -3.666742385180326 0.458170016446786 
-1.038192258413623 0.191617625927515 1.995568345107431 1.206494256927245 -2.200836267371884 -4.331232864332768 
-1.460304011148099 -0.599365853731420 1.266831538114569 2.511180678159865 1.808799842302148 -0.795343991582651 
-1.774125199536191 -1.360640167721997 -0.261719346182007 1.140876726359451 2.341555108406943 2.867732219438340 
-1.956457316292114 -1.870793922854703 -1.619409083038359 -1.218793090015967 -0.695361743332040 -0.083915473316971 
******************************************
SHELL GLOBAL DISCRETE INITIAL BASIS DIRICHLET-DIRICHLET GLL VANDERMONDE
7 6
0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 
0.310728282048034 -0.257974045005865 0.117624151518989 0.062665282264754 -0.221676581125469 0.305417107526644 
0.780180808861056 -0.365786830923512 -0.437183380169127 0.775732631558999 -0.290219236555470 -0.503594753756951 
1.000000000000000 -0.000000000000000 -1.000000000000000 0.000000000000001 1.000000000000000 -0.000000000000001 
0.780180808861056 0.365786830923512 -0.437183380169126 -0.775732631558999 -0.290219236555471 0.503594753756950 
0.310728282048034 0.257974045005864 0.117624151518989 -0.062665282264753 -0.221676581125468 -0.305417107526643 
0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 
******************************************
SHELL GLOBAL DISCRETE INITIAL BASIS DIRICHLET-DIRICHLET GLL DERIVATIVE VANDERMONDE
7 6
2.000000000000000 -2.000000000000000 2.000000000000000 -1.999999999999999 2.000000000000000 -2.000000000000001 
1.660447792557135 -1.067815153855897 -0.403344567489783 1.972796053622197 -2.747049720383112 2.145183428381699 
0.937697586941428 0.340542426583168 -1.988597060446666 0.649793478058234 2.930752547179179 -3.978391542581534 
0.000000000000000 1.000000000000000 -0.000000000000001 -3.000000000000000 0.000000000000004 5.000000000000000 
-0.937697586941428 0.340542426583167 1.988597060446666 0.649793478058237 -2.930752547179178 -3.978391542581538 
-1.660447792557136 -1.067815153855899 0.403344567489778 1.972796053622193 2.747049720383115 2.145183428381710 
-2.000000000000000 -1.999999999999998 -2.000000000000000 -2.000000000000001 -2.000000000000000 -1.999999999999999 
******************************************
SHELL GLOBAL DISCRETE INITIAL BASIS DIRICHLET-DIRICHLET PLOT VANDERMONDE
15 6
0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 0.000000000000000 
